Occupation_x	Occupation_y	summary	sampleTitles
Painters, Construction and Maintenance	Painters, Construction and Maintenance	Paint walls, equipment, buildings, bridges, and other structural surfaces, using brushes, rollers, and spray guns. May remove old paint to prepare surface prior to painting. May mix colors or oils to obtain desired color or consistency.	Facilities Painter, Foreman, Highway Painter, House Painter, Industrial Painter, Journeyman Painter, Maintenance Painter, Painter, Painter Foreman, Senior Painter
Paperhangers	Paperhangers	Cover interior walls or ceilings of rooms with decorative wallpaper or fabric, or attach advertising posters on surfaces such as walls and billboards. May remove old materials or prepare surfaces to be papered.	Bill Board Poster, Bill Poster, Hanger, Paper Hanger, Paperhanger, Vinyl Hanger, Wall Covering Contractor, Wall Covering Installer, Wallpaper Hanger, Wallpaper Installer
Paving, Surfacing, and Tamping Equipment Operators	Paving, Surfacing, and Tamping Equipment Operators	Operate equipment used for applying concrete, asphalt, or other materials to road beds, parking lots, or airport runways and taxiways, or equipment used for tamping gravel, dirt, or other materials. Includes concrete and asphalt paving machine operators, form tampers, tamping machine operators, and stone spreader operators.	Asphalt Paver Operator, Asphalt Raker, Equipment Operator (EO), Heavy Equipment Operator, Maintenance Equipment Operator (MEO), Operator, Paver Operator, Roller Operator, Screed Operator, Truck Driver
Pile-Driver Operators	Pile-Driver Operators	Operate pile drivers mounted on skids, barges, crawler treads, or locomotive cranes to drive pilings for retaining walls, bulkheads, and foundations of structures, such as buildings, bridges, and piers.	Pile Driver, Pile Driver Operator
Pipe Fitters and Steamfitters	Pipe Fitters and Steamfitters	Lay out, assemble, install, or maintain pipe systems, pipe supports, or related hydraulic or pneumatic equipment for steam, hot water, heating, cooling, lubricating, sprinkling, or industrial production or processing systems.	Equipment Service Associate (ESA), Fire Sprinkler Service Technician, Journeyman Pipe Fitter, Journeyman Pipefitter, Machine Repairman, Pipe Fitter, Pipe Welder, Pipefitter, Sprinkler Fitter, Steamfitter
Plumbers	Plumbers	Assemble, install, or repair pipes, fittings, or fixtures of heating, water, or drainage systems, according to specifications or plumbing codes.	Commercial Plumber; Drain Cleaner, Plumber; Drain Technician; Journeyman Plumber; Master Plumber; Plumber; Plumber Gasfitter; Plumbing and Heating Mechanic; Residential Plumber; Service Plumber
Plumbers, Pipefitters, and Steamfitters	Plumbers, Pipefitters, and Steamfitters	Assemble, install, alter, and repair pipelines or pipe systems that carry water, steam, air, or other liquids or gases. May install heating and cooling equipment and mechanical control systems. Includes sprinklerfitters.	none
Pipelayers	Pipelayers	Lay pipe for storm or sanitation sewers, drains, and water mains. Perform any combination of the following tasks: grade trenches or culverts, position pipe, or seal joints.	Construction Laborer, Equipment Operator, Heavy Equipment Operator, Machine Operator, Pipe Crew Foreman, Pipe Foreman, Pipelayer, Skilled Laborer, Tailman, Waste Water Worker
Plasterers and Stucco Masons	Plasterers and Stucco Masons	Apply interior or exterior plaster, cement, stucco, or similar materials. May also set ornamental plaster.	Applicator, Artisan Plasterer, Plaster and Stucco Worker, Plaster Applicator, Plaster Foreman, Plaster Mechanic, Plasterer, Plasterer Foreman, Plasterer Journeyman, Plastering Contractor
Rail-Track Laying and Maintenance Equipment Operators	Rail-Track Laying and Maintenance Equipment Operators	Lay, repair, and maintain track for standard or narrow-gauge railroad equipment used in regular railroad service or in plant yards, quarries, sand and gravel pits, and mines. Includes ballast cleaning machine operators and railroad bed tamping machine operators.	Machine Operator, Rail Maintenance Worker, Track Equipment Operator (TEO), Track Inspector, Track Laborer, Track Maintainer, Track Repairer, Track Supervisor, Track Walker, Trackman
Reinforcing Iron and Rebar Workers	Reinforcing Iron and Rebar Workers	Position and secure steel bars or mesh in concrete forms in order to reinforce concrete. Use a variety of fasteners, rod-bending machines, blowtorches, and hand tools. Includes rod busters.	Field Ironworker, Iron Installer, Iron Worker, Iron Worker Foreman, Ironworker, Ironworker Foreman, Reinforced Ironworker, Rodbuster, Rodman, Steel Tier
Rock Splitters, Quarry	Rock Splitters, Quarry	Separate blocks of rough dimension stone from quarry mass using jackhammer and wedges.	Blaster, Driller, Quarry Worker, Rock Splitter, Splitter Operator, Stone Breaker, Stone Splitter
Roof Bolters, Mining	Roof Bolters, Mining	Operate machinery to install roof support bolts in underground mine.	Bolt Machine Operator, Bolt Man, Inby (Roof Bolter), Roof Bolter, Roof Bolter Operator, Underground Coal Miner (Roof Bolter), Underground Roof Bolter
Roofers	Roofers	Cover roofs of structures with shingles, slate, asphalt, aluminum, wood, or related materials. May spray roofs, sidings, and walls with material to bind, seal, insulate, or soundproof sections of structures.	Commercial Roofer, Industrial Roofer, Metal Roofing Mechanic, Residential Roofer, Roof Mechanic, Roof Service Technician, Roofer, Roofing Foreman, Roofing Technician, Sheet Metal Roofer
